"","ABCA3","AMBP","BAIAP2L2","C4BPA","CCL20","CCT7","CDR2L","CHMP2A","COL5A2","CPXM2","CYP4B1","EIF5A","EIF6","EPHX1","F2RL1","GFRA3","GGTLC1","GOLM1","GPI","IER3","IGFBP1","INMT","ITGB4","KLK12","KRT7","LAD1","LDHA","MARVELD1","METTL7A","NPC2","PFKP","PLAUR","PMEPA1","PSMB7","PSMC4","PTTG1IP","RANGAP1","RHOV","S100A11","SEC61G","SEMA3C","SERPINH1","SLC6A14","SPRR1B","TIMM23","TK1","TMED10","TOP2A","TSKU","TXN","UBA1","class"
"GSM748128",-0.00566980469906116,-0.0199484824690263,-0.00369159360180961,-0.00114884632845201,-0.00878487306658708,0.0249549388121717,0.0051222550277396,-0.0236009576832265,0.0074959374509354,0.0089090779976933,0.00536247526880376,-0.00789163826027773,0.0165979075016953,0.00733204104087476,-0.00299394031823525,-0.00354298654859182,0.00683671999485449,-0.00482726143344945,-0.0112759072637507,-0.0852235037529153,-0.000526813086812112,-0.00350360291963352,0.000640536426789097,0.0124242873562521,-0.00642855264028203,-0.0198685518637737,-0.012316055791251,-0.0635719582985689,-0.0273653778544108,0.0141888233524754,-0.0203916374255817,0.0147222565372791,-0.0105102063984345,-0.0334030959282124,0.0163093291830941,0.0116019547977485,-0.0097745057082507,0.0145694484356402,0.00902832510415928,-0.00476547768240487,-0.00341768845582856,-0.0181329019668001,-0.0101276157567397,0.0190387996731837,0.0051506856124025,0.000278960730795293,-0.0109741643106103,0.00832257945642055,-0.000535786889671889,-0.0204548424585872,-0.000210063624313519,1
"GSM748130",-0.00583437159315937,-0.0162664524678807,-0.0041406041227497,-0.00108455020094607,-0.00483137568486138,0.0248254564814754,0.00598205684762221,-0.0249608470307896,0.00545560458240333,0.0089665350838578,0.00431221673582001,-0.00887345629122984,0.0173524331645042,0.00696302253511988,-0.00400269571973769,-0.0024282014491826,0.00710991564468249,-0.00501703266918934,-0.0114161497316441,-0.0749314352958959,-0.00062422380078619,-0.00436042675688999,0.00082704504627698,0.00806805960727333,-0.00665696805420351,-0.0240766085367116,-0.0124901769143765,-0.0618736833286042,-0.0271163074054424,0.014320420500988,-0.0155127136123645,0.0139003060471372,-0.00723922351478022,-0.0337470903801739,0.0169073186133132,0.0122503431799245,-0.00945508605631028,0.0190623492316045,0.0094793184732375,-0.00466366404975777,-0.00320870762619563,-0.0169719004879441,-0.0103500854347681,0.0264142116879604,0.00512679654389323,0.000264623268726968,-0.0116396839274382,0.00620081363465187,-0.000585375591490551,-0.0213061032303058,-0.000233865908545986,0
"GSM748131",-0.00546756936605216,-0.0172859877027337,-0.00405094553601854,-0.000854547298098886,-0.00838996312369815,0.0243038755818255,0.00556077409014326,-0.0246089580484306,0.00595207277510715,0.00888413491637083,0.00636223065052769,-0.00887866140841059,0.0164430318561215,0.00738087587132127,-0.00307479658849911,-0.00234814289882834,0.00718337336252594,-0.0044322775191662,-0.0115950377534939,-0.086569473816347,-0.000509546522979108,-0.00393668783074631,0.000848774037477813,0.00793035322591502,-0.00659253690688571,-0.0221473784702435,-0.0127003940797883,-0.0641625689807074,-0.0275948431296824,0.0151098711802324,-0.0174573720390041,0.0151792283581884,-0.0092698275340168,-0.0314593945387179,0.0173190579210644,0.0122087359915594,-0.0101778411161773,0.0136572058244262,0.00896938661562796,-0.00450896228106474,-0.00365318351833656,-0.0163454899909736,-0.0104609183253004,0.0251996298970776,0.00530500222913776,0.000280357689627274,-0.010880538964111,0.00829575094531671,-0.000586428255765486,-0.0198466415866382,-0.000209726052401725,0
"GSM748135",-0.00648956581352423,-0.0252762836057831,-0.00374920614742326,-0.00107327924036622,-0.00459331822511777,0.0253932358289631,0.00555705856778159,-0.0248222899132846,0.00629904273405745,0.0089703041515972,0.00742487732909544,-0.00905600698231209,0.0179371316389464,0.00942004964832547,-0.00289226530553277,-0.00256085489715163,0.00931628904899376,-0.0049815988984873,-0.0125682800824317,-0.0773268815309054,-0.000561934349095627,-0.00433821352203864,0.000950205962160512,0.00793625354577963,-0.00653747531137403,-0.0221170148979152,-0.0130845019079146,-0.0628563524080604,-0.0270532271218667,0.0156755295910255,-0.0170392195389657,0.0141079235987628,-0.00836652115972573,-0.0345463399103503,0.0171581412108536,0.0121492290069852,-0.0104142525175069,0.0129342979687798,0.0088389582604914,-0.00458866057385853,-0.00307150081912756,-0.0172711691876032,-0.00867645128085092,0.0192683697842857,0.0052335420454012,0.000240195032551446,-0.0120007437496107,0.00579020274998079,-0.000630916692299158,-0.0239534290657334,-0.000209121882889433,1
"GSM748138",-0.00636376727648265,-0.0154722903038693,-0.00357535016660566,-0.00104545074016398,-0.00869165075083827,0.0247654767830721,0.00504282388441516,-0.0240912601617864,0.00653461021005393,0.00890140223226175,0.00399083284445806,-0.0093570513941647,0.0179923631681365,0.00648690844291443,-0.00286353370483247,-0.00248877141974224,0.00748968571719156,-0.00449013799758504,-0.0133095131518128,-0.0839766351117817,-0.000517473438247843,-0.00305070514304964,0.000747748153760489,0.00802469195857732,-0.006401517508441,-0.0199453180596364,-0.0127534956317121,-0.0646161849939624,-0.0238486655235892,0.0152548045513404,-0.0177964260870142,0.0161608094016756,-0.00968580705529043,-0.0353011092204284,0.0164900418744805,0.0117355112800043,-0.010214380689312,0.0125881392824495,0.00917232124267517,-0.00483946583544205,-0.00373508900446778,-0.0179952572854804,-0.0107349333430127,0.0437662956900179,0.00541835633695501,0.000327042633337933,-0.0109096936194043,0.00804741529827742,-0.000548826538090558,-0.0218587391235425,-0.000196361247687076,0
"GSM748139",-0.00440109672390281,-0.0157437701894602,-0.00522204027228989,-0.000839886264704975,-0.00704311079695916,0.0242375482898296,0.00583042123316201,-0.0231908796414778,0.0074379049080574,0.00887061012158754,0.00489028629164017,-0.00763296568475735,0.017360510998659,0.00745118775785697,-0.002925159821715,-0.00223223891852335,0.00641371971614577,-0.00423449674039307,-0.0122436991556394,-0.0895533088711066,-0.000517494380768529,-0.00311791876201352,0.000750355665130297,0.00865364009587367,-0.006463340761213,-0.0191761460893958,-0.0127375639280231,-0.0623191508003832,-0.0269761878107187,0.0141945853742183,-0.0181086425747999,0.0186566959469535,-0.0109046546312704,-0.0333840815134406,0.0172138761441634,0.0114950041116799,-0.0108916408926189,0.0143848637870565,0.00894569654278018,-0.00499118260149642,-0.00330307051765271,-0.0186350812379763,-0.00672737587695594,0.0257080553151059,0.00522747127175031,0.000311712115239109,-0.0113883042645457,0.00773310379011496,-0.000505804046875101,-0.0204796258315418,-0.000205590477820386,1
"GSM748140",-0.00401675858148201,-0.0177400183678471,-0.00367451448914902,-0.000905193529285572,-0.00634186158199284,0.0252645216391073,0.00528747429695422,-0.0259065858385557,0.00665601306028836,0.00830021367654128,0.00509662848905136,-0.00856676943666886,0.0179863300889293,0.00829986212847264,-0.00361655888815562,-0.00225626212548018,0.00583854675728277,-0.00455428941319939,-0.012540451951137,-0.0902676647821169,-0.000578204525501539,-0.00285570169950051,0.000875487699851297,0.0153054318293388,-0.0065988850050949,-0.0204918206253739,-0.0125222160002997,-0.0564577378339527,-0.0248711084594149,0.0138896635253875,-0.0181920713825786,0.0158999676868431,-0.00813303611726061,-0.0338160372724717,0.0179466801044136,0.0116084955201117,-0.0104104587732332,0.0157543579579105,0.00938854498792887,-0.00503316436577477,-0.0047294101580907,-0.0182818380537952,-0.00914775713313041,0.0189965582141555,0.00526614714740783,0.000312114496103314,-0.0115427044223923,0.0086979299526,-0.000579880193074841,-0.0214395133937874,-0.000200643910704792,0
"GSM748142",-0.00557663767429908,-0.016839475517445,-0.00374908093898337,-0.00138519850541745,-0.00430809951473201,0.0236380002635594,0.00473553968916964,-0.0232972778543764,0.00632430311110722,0.00866026632737807,0.00713833609589818,-0.00697996746046923,0.0177722452466666,0.00831013308142824,-0.00374999147875309,-0.00287365004936778,0.01103427394074,-0.00455199343816037,-0.0110640645531063,-0.0858689589748658,-0.000578668657255378,-0.00476295487208327,0.000978731979564372,0.00765961200448959,-0.0064813254502805,-0.0211268260617824,-0.0127353043872259,-0.0670617963259106,-0.0278862606621433,0.0160422537826562,-0.0150473271382347,0.0123606317240013,-0.0113302211504333,-0.0348927465904467,0.0168363770206129,0.012053991510001,-0.0101071923677115,0.0107995894646943,0.00883745933939779,-0.00474733143925359,-0.00378518340684353,-0.0189697859481028,-0.00436599128149994,0.0176226679183045,0.00525665202994845,0.00022543635512353,-0.0119511094167947,0.00526076060601207,-0.000538902725660834,-0.0218817033065249,-0.000194262795061227,1
"GSM748143",-0.00495632855740461,-0.0163012792457739,-0.00429135867371469,-0.00108503293498441,-0.00424369405388763,0.024630869259326,0.0060092659311716,-0.0235660036524301,0.00721099992544933,0.00840985126932289,0.00475855306616038,-0.00840463911917745,0.0169653956374429,0.00865545364806767,-0.00319579070941218,-0.00241229320584063,0.00721900946670514,-0.00460439203979305,-0.0125402363271935,-0.0848601827239528,-0.000611088187007518,-0.00245864969419265,0.000837298052344637,0.00832267393991641,-0.00651849695111033,-0.0226752582859129,-0.0126503441621722,-0.0673121435880159,-0.0245428698978347,0.0141421285109358,-0.0171480394962786,0.0174060002504882,-0.0106267361834041,-0.0322585242676541,0.0171524292485371,0.0124210750738564,-0.0111564968267839,0.0135645942386052,0.00911345021726737,-0.00485948508562274,-0.00511552559030663,-0.0188683387282345,-0.00419088459642971,0.0204141612627479,0.00518741430732593,0.000323997072912798,-0.0112499261704377,0.00891444592634034,-0.000527718705972798,-0.0213956280135969,-0.000225457287059526,1
"GSM748146",-0.00556372560328689,-0.0161347826826506,-0.00405624033790623,-0.00105852981368083,-0.00798854594575453,0.024517139772329,0.00599659979187471,-0.0237357099551011,0.00711111103313318,0.00928972861885134,0.00445153443578044,-0.00900823190936877,0.0176239043831392,0.00643839393784497,-0.00337319324241028,-0.00225280136905894,0.00820756013647938,-0.00446178063368948,-0.0119577439094401,-0.0817100889027251,-0.000564388104251838,-0.00368028850151855,0.00105970285485465,0.00801444201725388,-0.00661405602437938,-0.0225085002282756,-0.0127152322995533,-0.0650961605426297,-0.0267251620757717,0.0148308418152102,-0.0186009716059489,0.0172007131226214,-0.00985114367029941,-0.0334841837716207,0.0174812506175075,0.0118610243471534,-0.0112544020858312,0.015462711396024,0.00908832380141124,-0.0049449812861896,-0.00431071019089114,-0.0186766538881159,-0.0121753378411375,0.064795329231665,0.00543654380838435,0.000311037393955124,-0.0107747856780767,0.00821189505295572,-0.00056655772547925,-0.0215275641267652,-0.00021236902891486,0
"GSM748147",-0.00578049156452527,-0.0199194963245491,-0.0037525431500475,-0.000972742711216952,-0.00524678996871831,0.0249229534234747,0.00540451011346641,-0.022446035613199,0.00579539935422332,0.00870296785702307,0.0054825294052234,-0.00862315523335394,0.0176833408839782,0.00945336768504913,-0.00330009369128145,-0.00258073969836176,0.00955136016087164,-0.00442658612579173,-0.011504937666309,-0.072066126900579,-0.000634800164303629,-0.00436081754793106,0.000730765531562202,0.00794441859202416,-0.0065663273800512,-0.0211772784174434,-0.0123579168442577,-0.0675631695180749,-0.0297590581378116,0.014548135819715,-0.0153285789608234,0.0132066697163024,-0.00863420311493594,-0.0333363296229154,0.0169020367140281,0.0121821930905054,-0.0100622738171589,0.0117023972702067,0.00882591243964576,-0.00456671172987491,-0.00321903213138214,-0.0176060400916318,-0.0106360799551034,0.018726706446008,0.00535792083472607,0.000271065921776117,-0.0114682384211745,0.00561600113337853,-0.000595949825002507,-0.0220322700706087,-0.000203632161013165,1
"GSM748150",-0.00670695672974787,-0.0173639783442721,-0.00357461462369812,-0.00128142048858791,-0.00597969879036824,0.0238103521316618,0.00485924001561317,-0.0239453333167806,0.00636883797775971,0.00876024111036258,0.00605649848998683,-0.00875399655236151,0.0158024981478751,0.00735919731781884,-0.00311040150691901,-0.00272414265709439,0.0082000143475445,-0.00459845523410008,-0.0107069533797556,-0.0817534527272458,-0.000542259569104469,-0.00473878513648699,0.000796592754391453,0.00800181451728315,-0.00646357151008772,-0.0220291349804331,-0.0125025115028606,-0.0673978643601988,-0.0291760949899299,0.0154627830616415,-0.0156561109266349,0.0162789486521941,-0.0103431517015703,-0.0331894181284542,0.0162575637085695,0.011852100708365,-0.00966856384994309,0.0116767628507071,0.00850360820589594,-0.00452197054575698,-0.00331027400767865,-0.0178468297384846,-0.0104187642314174,0.0185931233087705,0.00531452084924124,0.000232744185662446,-0.0112523324516523,0.00436312014715238,-0.00050468181155502,-0.0199662251610781,-0.000213403253970162,1
"GSM748152",-0.00513004609629705,-0.0224800590045431,-0.00357343576721924,-0.00101577463147886,-0.00797544750183927,0.0246411301685039,0.00531247251048841,-0.0230343705326366,0.00632727215483414,0.00846262964250097,0.0048772512807715,-0.00831555194909079,0.0172111518800581,0.00750852720468715,-0.00310553677996674,-0.00284220023496272,0.00783992384037866,-0.00461579892726213,-0.0115158127225493,-0.0825093170864778,-0.000581699606578794,-0.00365982943982061,0.000704915360203074,0.0087835214402347,-0.00648676577145449,-0.0199766333746472,-0.0122113408631654,-0.0608969603540473,-0.0258591965735245,0.013694410987846,-0.0150001549500587,0.0146579888786728,-0.00800879221218316,-0.0338167375875237,0.0167583078688769,0.0118272402698578,-0.0100805534451483,0.0130121213608375,0.00878398506034181,-0.00483318205094274,-0.00291662512967159,-0.0170129993468824,-0.00871750637288472,0.0179079506302564,0.00530002569162844,0.000257208858191531,-0.0114360986660313,0.00787133354231472,-0.000554455904537368,-0.0206703779718075,-0.00020955650584239,1
"GSM748157",-0.00514571281941834,-0.0262255169482714,-0.00378542085208612,-0.000811043613298012,-0.00565100156013846,0.0249381359492783,0.00502803863270374,-0.0261258344921882,0.00576897044792779,0.00857195981833234,0.00781987403290976,-0.00915554834406739,0.0169265304842249,0.00907697507471387,-0.00336850918563772,-0.00254750816329304,0.00790893907903902,-0.00456763877654539,-0.0117816464489486,-0.0739994015057945,-0.000866974466638891,-0.00397885960383811,0.000951400520614991,0.00814514138680006,-0.00647968385271692,-0.022641325964278,-0.0126636332033822,-0.0627633506742977,-0.0253639488966376,0.0159728455671357,-0.0150846327088329,0.0161492134486083,-0.00985138300768375,-0.035287423678538,0.0171906437007387,0.0125146461779824,-0.0106553947605515,0.0137715183031467,0.00930793313985756,-0.0046410577221093,-0.00354066415539017,-0.0175434667829,-0.00608927270129012,0.0206057325102854,0.00531195466893668,0.000246762737408896,-0.0115920791659534,0.00565764987233351,-0.000585497513401053,-0.0220613935610794,-0.00020356429807037,1
"GSM748161",-0.00561858983460674,-0.0199476866885303,-0.00384205684964388,-0.00122805528051075,-0.00763491233520503,0.0249476034215533,0.00568271922874189,-0.0240246406851937,0.00738510546372585,0.00876046455834052,0.00525589465366707,-0.00915408485906381,0.0170733051588105,0.00751961142710833,-0.00323338743791467,-0.00293068292128081,0.00691217626533618,-0.00438577979708829,-0.0118517400361238,-0.0791217874225122,-0.000595414437041825,-0.00428178251344695,0.000801907285044084,0.0143919431891343,-0.00623097213375814,-0.020629956108365,-0.0126816091985673,-0.0644791208815273,-0.0267758659330378,0.0141488908900353,-0.0194808151279583,0.0150123995535461,-0.008791815641681,-0.0342539709754164,0.0168334169908834,0.0114582972540343,-0.00999661996005952,0.0121987696241136,0.00907861553898444,-0.00474341025708465,-0.00317038034551271,-0.0185938195116146,-0.00875149036061819,0.0195440682071601,0.00534342114460308,0.000329816309815392,-0.0110264834498772,0.00922785436344299,-0.000519235205095401,-0.0205035163895003,-0.000216134380506397,1
"GSM748162",-0.00557267149449275,-0.0146026004780841,-0.00407198223558133,-0.000871865969751504,-0.00443694563106017,0.0255849251275921,0.00488838560123768,-0.0247324921001071,0.00724153775232646,0.00856188064846206,0.00500886718715708,-0.00848257291361789,0.0178727062762239,0.009504976186213,-0.00310197254274637,-0.0021600378918728,0.00812487575592021,-0.00472039334911351,-0.0117756415503961,-0.0702944141473426,-0.000519035514911251,-0.00341017688956447,0.000617393170125433,0.00808989757544927,-0.00623543737525101,-0.0188492878664707,-0.0127239090646898,-0.0625805322050799,-0.0261305081948446,0.014889255258295,-0.0177142220132331,0.0142510287684273,-0.00831705981775304,-0.0330602419178965,0.0170688164102908,0.0120715413555968,-0.00987182951868476,0.0120921229483595,0.00857505692359284,-0.00474050758486919,-0.00274100055506013,-0.0175611159042546,-0.00997248312559884,0.0189577992680003,0.00491173155232056,0.000328188133559835,-0.0112747822589087,0.00872189980697739,-0.000522682559803268,-0.0216068312830577,-0.00021449130762055,1
"GSM748164",-0.00536339179129396,-0.0163945126748543,-0.00363858285018061,-0.00143205906433376,-0.00444132073846883,0.0244706912654009,0.00522039894786008,-0.0238549009744543,0.00627961158937734,0.00851460407912437,0.00703865980588636,-0.00861455699060588,0.0169130397054002,0.00837829678828318,-0.00362624703522648,-0.00351996211168209,0.00871473237175526,-0.00460894237351446,-0.0110548832491265,-0.0911172370088187,-0.000527056105628525,-0.00462238112141236,0.000785764550908801,0.0077741811361331,-0.00637323198404174,-0.0227030926794861,-0.0123910566421802,-0.0665385501537563,-0.0298722688237904,0.0160983391066414,-0.0144772643659634,0.0131720067754941,-0.0114052238436933,-0.0333717864539979,0.0162234969836103,0.012010736957736,-0.00957652731468052,0.0112972393784358,0.00886636395807543,-0.00460163398868625,-0.00371869860262959,-0.017233029048578,-0.0104018073339488,0.0214729683250685,0.0051465209764209,0.000242494184494269,-0.0113367542204419,0.00556020381732106,-0.000499177862864304,-0.0201877022588835,-0.000213332766248337,1
"GSM748166",-0.00459875347009413,-0.0173162613630712,-0.0041155505950379,-0.00119367716918725,-0.00690075662749085,0.0242863745300519,0.0050333710919908,-0.024902191586753,0.00696230670376774,0.00922779152868684,0.00543232277382387,-0.00864865705765435,0.0169568314996709,0.00699809314678756,-0.00335035558745842,-0.00229538452506713,0.00680155879743941,-0.00466147029718896,-0.0119251484290955,-0.0912607676630028,-0.00052244939979451,-0.00436685812530739,0.000846771600643785,0.00947518764963215,-0.00668224559492017,-0.0200233849311086,-0.0125328081378163,-0.0682286418179918,-0.0284032706880158,0.0140845638825553,-0.0171219638077307,0.0168075799422214,-0.00948324893124766,-0.0325503822355157,0.0174273859531575,0.0119330966164504,-0.0101525586973213,0.011807398367608,0.00894333030772044,-0.00488325261059429,-0.00412619804190649,-0.017874569111854,-0.00973028466844839,0.0204099707231775,0.00517733708542822,0.000275255083112859,-0.0114131303116154,0.00747089365971819,-0.00055068375072109,-0.0198453361649473,-0.000204176043147926,1
"GSM748167",-0.00533114741799416,-0.0172407575369057,-0.00392468041839552,-0.00145569648750696,-0.00515662107016915,0.0236240797711073,0.00598583001748488,-0.024632807804092,0.00575454458207603,0.00860333629683023,0.00771412684144017,-0.00811869165459165,0.0167085306435144,0.00738841441949013,-0.00344663362436667,-0.00242097493894027,0.0083652819280218,-0.004539786244745,-0.0110321176125184,-0.0889791298449951,-0.000531193773330438,-0.00515487268104423,0.000760870675160251,0.00788861295324102,-0.00628495595417772,-0.0254169487251405,-0.0119439439742692,-0.0683413721317979,-0.0289320390880924,0.0158559156324536,-0.015406670427616,0.013245669991203,-0.0101114550420516,-0.0334496432391766,0.0162828787912297,0.0116713731520727,-0.0098581802962329,0.0116982785569625,0.00905751128709394,-0.00455203498520917,-0.00312503224993212,-0.0176704530751849,-0.0103918668299109,0.0197851352282247,0.00510302063323411,0.000243856274460166,-0.010783022872241,0.0059141553528761,-0.000492291862419936,-0.0203427737953301,-0.000197596016447395,1
"GSM748169",-0.00623458158700071,-0.0153074540712325,-0.00376470735213793,-0.00121515278241847,-0.00607566121124278,0.0246061603671241,0.00577525319672907,-0.0232072181772239,0.00751311994329875,0.00917713247841591,0.00635712580561585,-0.00719155595749847,0.0163607546691781,0.00771717393949526,-0.00304945236939784,-0.00248158391305513,0.00806991137690916,-0.00476530625465567,-0.0112420221252524,-0.0804118998484645,-0.000514790395089194,-0.00411229791997831,0.000933364423419083,0.00821217909054537,-0.00628873508957447,-0.0202872185229721,-0.012119939168759,-0.0708208051597813,-0.0279754109039613,0.0147126981248242,-0.0174942569807625,0.0153421712332842,-0.0112794550013042,-0.0332752423827582,0.0164974006421989,0.0117994633519603,-0.009851448958608,0.0116130734300093,0.00891852180614721,-0.00467416154943844,-0.00356097158241217,-0.0181398980481773,-0.0104799943955737,0.0262493107372187,0.00530283189374494,0.000229128896850213,-0.0106886601068741,0.00495991644248753,-0.000536502173246265,-0.0208127457418717,-0.00019507137265462,1
