"","A2M","ACOT7","AGPAT2","AREG","CCL21","CD59","CYBA","EIF3D","FASN","FSTL3","GPX3","ICAM1","IFITM2","KLF5","KLK7","MFSD1","MSMB","PFDN2","PIR","POLE4","PPDPF","PYGB","RGCC","RPL31","RPL36AL","RPS21","S100A11","SERPINA1","THYN1","UPP1","class"
"GSM1932967",0.00103090560921983,-0.000787749845917942,0.00465927432368925,0.00689317051607229,-0.00289202125429395,-0.00253033938847553,-0.0132977802742581,0.00431574535504813,-0.00301376597070554,-0.00903646027156274,-1.1745967884898e-05,-0.000113388887048505,-0.0019645646327319,-0.000519946603860063,-0.00638475429351271,0.0041294879829556,0.0104698340488545,0.000481476760342344,0.00710134175958945,0.00387073032880776,-0.00131237834532749,-0.00335236150630982,-0.0110585588996816,-3.92793356458989e-05,0.00469712473651587,0.00235070660012621,-2.60357981814149e-05,-0.00219927780509831,-0.000845888230760979,-0.00907234135375391,1
"GSM1932968",0.0010417974780311,-0.000757477842233798,0.00454813242449594,0.00814705529974479,-0.00277063689773567,-0.00267934755347018,-0.0126850425924047,0.00432252769400191,-0.00296669522269948,-0.0088755358990504,-1.17946292262807e-05,-0.000110708073290936,-0.00191230717339953,-0.000510956016367052,-0.00533011912252087,0.00414600087204981,0.0125062216221068,0.000463326127095842,0.00588651278190821,0.00391314720105484,-0.0013919568514721,-0.00265598940837157,-0.010960007323859,-3.66837733495532e-05,0.00488266062543593,0.00227680528460321,-2.51974098531362e-05,-0.00222208756196819,-0.00080801252937393,-0.00960230033914799,0
"GSM1932970",0.00119663481844488,-0.000760841689070101,0.00474732374389931,0.0110845695917436,-0.00331192710892253,-0.00287162317537539,-0.013425675336635,0.00424662613586348,-0.00312746457755355,-0.00894888012857156,-1.27352240825861e-05,-0.00014171034246236,-0.00207184510593496,-0.000435013330754955,-0.00551473765141146,0.00428092032504531,0.0104641920618824,0.00045472902163582,0.00598721073646447,0.00387365618538538,-0.00130189991359274,-0.00285881708819689,-0.0120861179466816,-3.8890179919044e-05,0.00493990032240966,0.00230125536281652,-2.44882832225882e-05,-0.00281281504711094,-0.000821835220569751,-0.00985267956673287,0
"GSM1932971",0.00102920962533815,-0.000766793703604494,0.00451726851307812,0.010243866470098,-0.00274568779518254,-0.00274379557870335,-0.0126300487703306,0.00423876112084702,-0.00287100746953088,-0.00897670804883089,-1.33433278806398e-05,-0.000111784491466423,-0.00193621853299518,-0.000502736213042872,-0.00613649906641851,0.00383204532985828,0.0114875567915859,0.00048696989138307,0.00647751168661283,0.00382391310064819,-0.00129365196629467,-0.00285821892666667,-0.0106756032836662,-3.7670857746559e-05,0.00457653218563641,0.00244007939936414,-2.56726832816258e-05,-0.00227149059002726,-0.000784236580979526,-0.0093120877212431,1
"GSM1932972",0.0010642810015702,-0.000768528945105214,0.0045508239419066,0.00769245301301293,-0.00317993234229458,-0.00280755588343712,-0.0142632778060965,0.00428680844118359,-0.00279809007768498,-0.00922147097128104,-1.28369794551289e-05,-0.000122349921755002,-0.00204246350921214,-0.000459367415341766,-0.00534627518561206,0.00416454774927588,0.0118323947630116,0.000453980452697,0.00612782305091504,0.00371065528203149,-0.00138419824926286,-0.00280360633686468,-0.0111368753332123,-3.57275933373105e-05,0.00476923678318859,0.00222455821784047,-2.60960900996368e-05,-0.00243435805498017,-0.000800423637168401,-0.00995060398178187,1
"GSM1932973",0.00103438476676345,-0.000774046619599642,0.00472478968069174,0.00665513721131079,-0.00296092182158108,-0.00260361099016712,-0.0130324727856998,0.0042701482006005,-0.00295529280235392,-0.00877196167630788,-1.1552545966539e-05,-0.000122734267833539,-0.00202499532879686,-0.000508250370891049,-0.00530230525427045,0.00431325076903236,0.0119194347490609,0.000468536895572015,0.00713358543927509,0.00391078246151827,-0.00130532289161406,-0.00294293020816054,-0.0106985437630689,-4.42648034734321e-05,0.00492303390915144,0.0024585168989839,-2.83550685860489e-05,-0.00223526827385178,-0.000888161445295177,-0.00946253793110357,1
"GSM1932974",0.00103217924360778,-0.000790097753959167,0.00455701171070471,0.00882999885428627,-0.00297630091183064,-0.00269942977145214,-0.0128371646992687,0.00424061753026441,-0.00281121301884037,-0.00895893409928701,-1.24124093137663e-05,-0.000123416783967965,-0.00191973656755826,-0.000488236093344142,-0.00533733399371492,0.00427486691219728,0.0110333663893376,0.00047107641337952,0.00609082919599011,0.00373326580690098,-0.00132875373281984,-0.00267618833241971,-0.0111098004906932,-3.61788818676405e-05,0.00479889217445923,0.00224876559816344,-2.65617908551425e-05,-0.00242887601697081,-0.000817806649583769,-0.00981073748834111,1
"GSM1932975",0.000608037704549143,-0.00083411269321789,0.00483779504886676,0.0122757684855467,-0.0026845914004934,-0.00267885593314406,-0.0125012197674329,0.00433862775089663,-0.00320517603469907,-0.00897403006507699,-1.3441683284672e-05,-0.000102527792288018,-0.00184618169212752,-0.000503649563124033,-0.00761520146087839,0.0040008895202596,0.0113218503665804,0.000514975278164082,0.00720852564438442,0.00397219914560299,-0.0014330950556222,-0.00314633824664903,-0.0101790247344854,-3.85420003783664e-05,0.00412913078571047,0.00216301519620025,-2.75583691589878e-05,-0.00202738719840244,-0.00080592620833519,-0.00963265673813671,1
"GSM1932976",0.000975396468568493,-0.000794977331605179,0.00464162084799841,0.00813481075372429,-0.0029624095337837,-0.00268012064380559,-0.0122757323236397,0.00433154873353671,-0.00304906631394544,-0.00972176069765941,-1.15861111297873e-05,-0.000109611664596117,-0.00196230631571937,-0.000518256377636172,-0.00546430880141925,0.00389389550816449,0.0123882837564549,0.00046637966446783,0.0062953960774592,0.00392392390507722,-0.0014556787091634,-0.00287744671823749,-0.0108932092931929,-4.00035881258644e-05,0.00478361987729589,0.00246578002811278,-2.60468911034484e-05,-0.00241633551463012,-0.000838152513644426,-0.0101201994907942,1
"GSM1932977",0.00119235177693128,-0.000802465733958541,0.0047208605849237,0.00983885072068878,-0.00323854605312815,-0.00312063703528,-0.0134251220009196,0.00432647490122419,-0.00281484373374643,-0.00995921797680911,-1.43726735605898e-05,-0.000129497646424139,-0.00214345189786444,-0.000453194171737587,-0.00755351845408979,0.00457524638083134,0.0105478393606916,0.000478169241003643,0.0069513543394293,0.00397625012282072,-0.00142474736732712,-0.0032133670465153,-0.0113104783498918,-3.66131489730589e-05,0.00482638351578455,0.00234695645123908,-2.67739983276174e-05,-0.00247063013657652,-0.00084060189226253,-0.00989262221547598,1
"GSM1932978",0.001186918323487,-0.000763742940908984,0.00461032923743229,0.00758956477320264,-0.00317365356863786,-0.00286275417163962,-0.0136824206274293,0.00424506391095235,-0.00279073639528552,-0.00976240543131012,-1.45773267065617e-05,-0.00013402786834294,-0.00212044486328762,-0.000370926399975651,-0.00516920203161339,0.00449944893987005,0.0108958074094892,0.000446702535342427,0.00587014447138468,0.00388014527617056,-0.00136320833872402,-0.00286146960014215,-0.0116221028301628,-3.70754114372948e-05,0.00468959923358516,0.00222280529382789,-2.60122956217658e-05,-0.00282523637564309,-0.000827439726905026,-0.00968751274951563,0
"GSM1932979",0.000938934718192436,-0.00080450857788488,0.00481624347594961,0.00723846132505904,-0.00290960376300909,-0.00258839038766954,-0.0118780145097405,0.00413863462532906,-0.0029819152358271,-0.00894587033109205,-1.16003298103828e-05,-0.000102314066259245,-0.00194899976847218,-0.000527583071884561,-0.00604521830346169,0.00421681880557164,0.0122504681785008,0.000513846572914655,0.00802980908723798,0.00407141577664077,-0.00142001676410059,-0.00330979380455517,-0.0116338206456988,-3.99366333082214e-05,0.00496499175090081,0.00230717954461798,-2.802414545851e-05,-0.00200344024057961,-0.0008704959875196,-0.00965003272330718,1
"GSM1932980",0.00100072056213518,-0.000771354039319324,0.00448651865963275,0.00786685330261873,-0.00265569218021575,-0.00252306783124083,-0.0121509178191586,0.00407973661635533,-0.00278295228096104,-0.00877855638163252,-1.1853063598124e-05,-0.000102443531600114,-0.00176370423772321,-0.000468703250409199,-0.00600227799182864,0.00392890664234823,0.0129558916227168,0.000465571748458119,0.00621234957100453,0.00379900743035839,-0.00131044923668859,-0.00289532995064289,-0.0103751212654431,-3.86135343514054e-05,0.00457527114994193,0.00239690929699601,-2.51736206953176e-05,-0.00195919933195744,-0.000773977524436453,-0.00970879268048491,1
"GSM1932981",0.00111967311854091,-0.0007817119471737,0.00460828852646771,0.00948605723394233,-0.00268270296678891,-0.00288261346595191,-0.0117072533665454,0.00421144336601599,-0.00289846681544785,-0.00894851827947625,-1.41409773930921e-05,-0.00010902571583318,-0.00194277240626056,-0.000470072931346706,-0.00664247756073078,0.00417404890666729,0.0112965757630416,0.00046143388284595,0.0064695959183204,0.0037189413043189,-0.0013122998525346,-0.0030304227853855,-0.0116168557683629,-3.50256773776953e-05,0.00429072957026377,0.0022551073753971,-2.53362540654603e-05,-0.00257013513104336,-0.000774667008762538,-0.00958643537642096,1
"GSM1932982",0.00108729311908971,-0.000802402396004935,0.00455521226334386,0.00654556570954471,-0.003334404726353,-0.0029380284872588,-0.013746255192465,0.00431338865524439,-0.00306097275890891,-0.00919099025643683,-1.21265609901429e-05,-0.000141109186521447,-0.00209885319132502,-0.000413935563183051,-0.0053468013670599,0.00410687848040664,0.0106210257962076,0.000478685401213395,0.00608922421958536,0.00382648061886602,-0.00139563334026313,-0.00278007098228353,-0.011467832810169,-3.80781351768421e-05,0.00485286676089027,0.00234955226566435,-2.5594039637549e-05,-0.00243328405905824,-0.000877734298235865,-0.00956578513131166,1
"GSM1932983",0.00110189492829553,-0.000809638966569625,0.00473849348582574,0.00728536692960429,-0.00286121166341995,-0.00277737808954968,-0.0130462395147486,0.00455848452772525,-0.00327673425509667,-0.009245142697513,-1.18014997872529e-05,-0.000114290563421336,-0.00194494427589662,-0.000521632347459497,-0.0054410131014422,0.00418996557517013,0.0110317035112859,0.000476076733801386,0.00676157586017494,0.00375416035847716,-0.00145536722810298,-0.00304089837614824,-0.0116769170445621,-3.73180720204544e-05,0.00497768017823993,0.002229951691917,-2.65741350319314e-05,-0.00230167627024287,-0.000829673524970714,-0.00987261876944591,0
"GSM1932984",0.0011265458404611,-0.000792010785391863,0.00479258184714806,0.00712942865258597,-0.00313853073072552,-0.00269809469484136,-0.0134708971904869,0.00434446939459907,-0.00303635134987719,-0.00936115046330039,-1.29070260940943e-05,-0.000119431725975771,-0.00210699971358089,-0.00046329227348537,-0.00587107988281306,0.00397169902945828,0.0160920306532396,0.000456683025474118,0.0062551789418759,0.00377308317445636,-0.00142980783763133,-0.00308821671532924,-0.0117448742503944,-3.71000813221931e-05,0.00473332533236453,0.00221238474843842,-2.65815439672864e-05,-0.0025623225916189,-0.000831583740543175,-0.00984936041642404,1
"GSM1932985",0.00105237728231548,-0.000761102898244545,0.00438543810956,0.00661070380098035,-0.00291004507750759,-0.0025815635336118,-0.0132361712546008,0.00406773386351527,-0.00279236225810546,-0.00878413344397054,-1.19350525002326e-05,-0.00011950023308126,-0.00197692454099881,-0.000451414600114846,-0.00531260383563226,0.0041584678473359,0.0103960152310098,0.00044147018612817,0.0062935684017961,0.00370543747943353,-0.00129408645090268,-0.00272490166908243,-0.0109520179967821,-3.57520988488019e-05,0.00457012726964938,0.00216326365413678,-2.43610290698031e-05,-0.00218206209188861,-0.000799793431147943,-0.00930552933962644,1
"GSM1932986",0.000978607260677423,-0.00077945821312549,0.00455276597999287,0.00994237337312099,-0.0029817713515335,-0.00297176955522048,-0.0124963323077769,0.0043031690545615,-0.00288939825450249,-0.00940939611210496,-1.23530229246821e-05,-0.000118510297852619,-0.00195661151351221,-0.000502028508141869,-0.0071089797047318,0.00401843396321305,0.0109998077319966,0.000453196643212929,0.00607064695947235,0.00373812163630324,-0.00135713992425164,-0.00289992780986242,-0.0108807550909509,-3.5937895621562e-05,0.00514419888357196,0.00229425366225042,-2.59813387241094e-05,-0.00235241062033889,-0.000804124398771402,-0.0102617748270558,1
"GSM1932987",0.00108455618913773,-0.000771886485067467,0.00463542218722406,0.008019544583188,-0.00282477681921582,-0.0026921870065872,-0.0130885171057396,0.00398841999590247,-0.00277111638450565,-0.00947925471176813,-1.28610699235717e-05,-0.000124288504298243,-0.0019891050104477,-0.000413099228093233,-0.00545124367979388,0.00429635087224957,0.0106822487787273,0.000433008132065499,0.00583027204666714,0.00375352537179399,-0.00127843875225062,-0.00274549576664678,-0.0110676723717261,-3.39459200318372e-05,0.00456845107666897,0.00215489304394624,-2.44922368330543e-05,-0.00260021042614306,-0.000784130880054287,-0.00982462934157814,1
"GSM1932988",0.000924915343175429,-0.000807654566031021,0.00474031095007281,0.00804252900817915,-0.00261479707724922,-0.00265772599876039,-0.0124031896157275,0.0047210384023661,-0.00302233653489679,-0.0088902070325395,-1.15241247576861e-05,-0.000114301081327613,-0.00198491065852086,-0.000571501710693442,-0.00644208146925229,0.00447447453407058,0.0136256262734365,0.000500540271719108,0.00841280510185505,0.00393204649303938,-0.00141262823296882,-0.0030579522139961,-0.0110026797599297,-4.173440504515e-05,0.00495543894742074,0.00242902128512873,-2.85344894678342e-05,-0.00213778314389115,-0.000828511673551069,-0.0102593185493259,1
"GSM1932989",0.000918447519608781,-0.000765515633582275,0.00445664447894483,0.00959362210532264,-0.00279541413712567,-0.00245653489066538,-0.0115229675282512,0.00360328311614103,-0.00277129613708983,-0.00871445431010152,-1.18485881615947e-05,-0.000101592535273772,-0.00171516575558552,-0.000497978695810096,-0.00566865334851324,0.00374069866871864,0.0117376067930749,0.000416287458387084,0.0062119358303102,0.00375768419177537,-0.00127091277599635,-0.00249293392940713,-0.0100150435397514,-3.39457761407785e-05,0.00393405313665694,0.00200108717489482,-2.36463532994757e-05,-0.00228927212860214,-0.000741458296231311,-0.00983707754997389,1
"GSM1932990",0.00113727188929002,-0.000808149264684887,0.00456968128581532,0.00869286625621155,-0.00301375453435832,-0.00282959566738792,-0.0126241447415143,0.00431941785876985,-0.0031471413888656,-0.00920426631497838,-1.25635780368301e-05,-0.000118141496801866,-0.00199888658062944,-0.000570254220779147,-0.00594558424795047,0.0040595283374696,0.0112759543107712,0.000455681321501655,0.00658753354312228,0.00388728471154112,-0.00132259391146334,-0.00342680680003077,-0.0107615519758569,-3.89760994076034e-05,0.00481858906601587,0.00241696055292501,-2.60224400612036e-05,-0.00248332770691747,-0.000844564846123537,-0.00935049740888799,1
"GSM1932991",0.00116480540233692,-0.000778275041923958,0.0046611266762102,0.00981505851757009,-0.00349676226132897,-0.00275277484631741,-0.0136807024944064,0.00430744254340863,-0.00306804328799547,-0.00910616741637357,-1.37017857795181e-05,-0.000137480486031314,-0.00211055294249594,-0.000549531128807962,-0.00718451806751861,0.00437164129172025,0.0104839099134362,0.000464973599766338,0.00678605813481978,0.00402629404435443,-0.00133676795773447,-0.00292374044012496,-0.0121677172564378,-3.9338724929298e-05,0.00497670052675005,0.0023099635093128,-2.57637876532754e-05,-0.00257108727444228,-0.000816998191182444,-0.0104938299376277,1
"GSM1932992",0.00109206013829004,-0.000802479765040791,0.00455603745960266,0.00991670162314413,-0.00301690727294399,-0.00276611627162142,-0.0126581767798539,0.00460207646036897,-0.00314764777671062,-0.00883999199041388,-1.26549060995505e-05,-0.000116443488899174,-0.00196826831745677,-0.000525952702293977,-0.00553645841992035,0.0042382210446124,0.0105110660624775,0.000503277329246831,0.00723012092451032,0.00399025895276234,-0.00131503732874009,-0.00289840975604628,-0.0108820040295123,-3.70487795265678e-05,0.00472844964809308,0.00237964061681772,-2.6606636564583e-05,-0.00253733897927618,-0.000835942493327041,-0.00968858914007547,1
"GSM1932993",0.00112309651900877,-0.000762478711834778,0.0044931865999875,0.00694323413221068,-0.00304886337563558,-0.00269077702965289,-0.0127353473795959,0.00402587549713833,-0.00276550598473144,-0.00891699368465459,-1.28307320313612e-05,-0.000118155250201725,-0.001904642981493,-0.000427671455344295,-0.00622247894656894,0.00384135731808767,0.0110535860748911,0.000430138824647192,0.00604001390091483,0.0037804584795291,-0.00129465436270384,-0.00264599105361018,-0.0110840911373552,-3.44665891508824e-05,0.00440988597197194,0.00207632690869885,-2.38343349596937e-05,-0.00244555656175874,-0.000780352566129315,-0.0092332452842794,1
"GSM1932994",0.00101698619396448,-0.000782635031559865,0.00467114319629025,0.00627728106224252,-0.00329835325075136,-0.00264147191882184,-0.0133680807558397,0.00425175469926772,-0.00315050102658781,-0.00889397537714542,-1.16798882299748e-05,-0.000121086734979518,-0.0019733765933476,-0.00049856319331875,-0.00573687172367824,0.00423817046519364,0.0138273989150335,0.000464590217140235,0.00715198811748277,0.00385333164955685,-0.00130037365642796,-0.00289133930955445,-0.0105410767830787,-3.76745245932747e-05,0.00469123672607503,0.00228630243663631,-2.67045208283337e-05,-0.00242734283079763,-0.00081398406042631,-0.00977214800098814,1
"GSM1932995",0.00118767443252359,-0.00079583173584917,0.00459401263618216,0.00840501699320961,-0.00339636288759292,-0.00273516175607023,-0.0138032616622046,0.00413617437754481,-0.00282647419726779,-0.00896525866296005,-1.3283429843103e-05,-0.000122942942736407,-0.00198170082944589,-0.000418277192368493,-0.00567053900068514,0.00421367758320329,0.0135556514970934,0.000451033901328684,0.00591253646513039,0.00381333602858188,-0.00133834292545419,-0.00274781132990266,-0.0111398159456415,-3.59658602910385e-05,0.00463040019416277,0.00219733735035126,-2.52931106962822e-05,-0.00276540355568174,-0.000824369754105532,-0.0100063118579471,1
"GSM1932996",0.00106270597676525,-0.000795419194262965,0.00431572936660504,0.00647269422452917,-0.0027252439336332,-0.00236980431478448,-0.0112553179360666,0.00432605877699951,-0.00306230394422836,-0.00862797321050404,-1.15703828336659e-05,-9.68247094892488e-05,-0.00180768289399324,-0.000377418266120986,-0.00518413541101564,0.0039043005943267,0.010619438587772,0.000478618711960288,0.00573624385060945,0.00405733539243498,-0.00135392058135123,-0.00377126685279221,-0.0104980901960608,-3.91558018011466e-05,0.00454118851342464,0.00249719619810662,-2.29901699403825e-05,-0.00199751296313641,-0.000892896037107586,-0.00885278604199998,0
"GSM1932997",0.0012294105960792,-0.000789263509395902,0.0046812927183953,0.00801392236425925,-0.00301788909531374,-0.00279527445433756,-0.0130160705483715,0.00466443069935377,-0.00299340515362719,-0.00919031475141286,-1.36559711864619e-05,-0.000127228014420607,-0.00203989798462121,-0.000535495003197484,-0.00541811437290028,0.00434788497142613,0.0121624557900454,0.000511445526553614,0.00672006301544836,0.00386833203707986,-0.00138446230604912,-0.00308764776693033,-0.011771254505428,-4.11071409956297e-05,0.00476861653972703,0.00239427328787182,-2.71685680383938e-05,-0.00262572267264334,-0.000967986832889777,-0.00966243370478432,0
"GSM1932998",0.000949568430283165,-0.00083969369357523,0.00484175305943483,0.0108244552261005,-0.00284944576937175,-0.00274945736338058,-0.012435555429912,0.00424672956616648,-0.00291100632245499,-0.00963749410505605,-1.12407162237049e-05,-0.00012172427107773,-0.00193973524220463,-0.000531329185845068,-0.00963268184381236,0.00370812351136445,0.0119273028849058,0.000486733317582398,0.0065696048811313,0.00370962522540524,-0.00143376766322655,-0.00320264418238599,-0.0108685926176086,-3.61261044413978e-05,0.00451830809114217,0.00241210788093406,-2.68835531228947e-05,-0.00210863748164546,-0.000787750385458838,-0.0123096876242446,1
"GSM1932999",0.00116591338283263,-0.000773003430145904,0.00455048831046126,0.00811336738697837,-0.00340745458294196,-0.00270509119056878,-0.0131669677023573,0.00435179409126724,-0.00297772273210276,-0.00943460243952703,-1.25338788302085e-05,-0.000119984972379363,-0.00201897034566519,-0.000517933621692733,-0.00555089804275607,0.00421050001846054,0.0106838102667252,0.000481199573536425,0.00666417983677271,0.00379076924356241,-0.00130915293996521,-0.00299051639241631,-0.0115943249635941,-4.02173747056719e-05,0.00463836523876088,0.0024037123040582,-2.57063754760337e-05,-0.00249537187075327,-0.000820650124074443,-0.00941260258595868,1
"GSM1933000",0.00115938891067158,-0.000785710038141469,0.00463542764051079,0.00814114850728056,-0.00299214397797226,-0.00278903713089435,-0.0127217131500633,0.00471135027774905,-0.00330071003476991,-0.00892550477438643,-1.28528355732936e-05,-0.000104980197481568,-0.00191304087010888,-0.000593015181472759,-0.00660135831640114,0.00437302900948018,0.0107906330875494,0.000489866717663483,0.00807216420520771,0.00405941890066045,-0.00135648318939722,-0.00305567741819557,-0.0108650112251822,-4.20511593285312e-05,0.00506213805423037,0.00239841845642846,-2.55868427543061e-05,-0.00224194853754251,-0.000919645569251411,-0.00898122245368153,0
